Gold (OG|GC) OG1U6 (0.03 DTE) vs 4450.5 (-54.4) - Intraday Volume
Put: 6,010  Call: 4,924  Vol: 22.97  Vol Chg: -11.99  Future Chg: -54.4
Strike,Call,Put,Vol Settle
4425,152,182,0.36398020526667096
4430,93,169,0.36078516282486817
4435,108,45,0.35781628643871954
4440,439,178,0.35507436655734637
4445,138,143,0.3525599931863326
4450,317,316,0.35027355589318176
4455,163,88,0.3482152438182311
4460,168,42,0.34638504565191397
4465,119,15,0.34478274965749733
4470,100,111,0.3434079436592583
4475,173,32,0.3422600150515791
