Gold (OG|GC) G1TQ6 (0.07 DTE) vs 4104 (+43.7) - Open Interest
Put: 2,221  Call: 2,104  Vol: 18.53  Vol Chg: -2.37  Future Chg: 43.7
Strike,Call,Put,Vol Settle
4075,48,82,0.20729796880186768
4080,14,19,0.206980715127429
4085,26,7,0.2069477364711929
4090,13,5,0.2072226978634717
4095,49,12,0.20783242529432755
4100,318,159,0.20880690512422007
4105,29,2,0.21017928467335878
4110,14,2,0.21198587161052274
4115,44,2,0.21426613460062072
4120,24,1,0.21706270266440697
4125,103,67,0.22042136586969718
4130,61,0,0.22439107449463336
4135,15,0,0.22902393991535064
