Gold (OG|GC) G1TQ6 (0.14 DTE) vs 4112.4 (+52.1) - Open Interest
Put: 2,221  Call: 2,104  Vol: 26.82  Vol Chg: 5.55  Future Chg: 52.1
Strike,Call,Put,Vol Settle
4050,25,217,0.21254132746253163
4055,75,117,0.21104705313337035
4060,55,41,0.20976613784296205
4065,1,3,0.20870644363458268
4070,15,7,0.20787899284914602
4075,48,82,0.20729796880186768
4080,14,19,0.206980715127429
4085,26,7,0.2069477364711929
4090,13,5,0.2072226978634717
4095,49,12,0.20783242529432755
4100,318,159,0.20880690512422007
4105,29,2,0.21017928467335878
4110,14,2,0.21198587161052274
4115,44,2,0.21426613460062072
4120,24,1,0.21706270266440697
4125,103,67,0.22042136586969718
4130,61,0,0.22439107449463336
4135,15,0,0.22902393991535064
4140,18,0,0.23437523382744985
4145,41,5,0.24050338884990197
4150,118,57,0.24746999811759451
4155,26,0,0.2553398156160256
4160,32,0,0.26418075572291855
4165,5,0,0
4170,7,1,0
4175,47,6,0
