Gold (OG|GC) G1WU6 (0.09 DTE) vs 4383 (+20.2) - Open Interest
Put: 5,322  Call: 4,704  Vol: 21.52  Vol Chg: -5.62  Future Chg: 20.2
Strike,Call,Put,Vol Settle
4340,13,69,0.27540460317686666
4345,0,35,0.27374380510809715
4350,28,108,0.2723963342687057
4355,1,19,0.2713639517132833
4360,16,122,0.2706473604339408
4365,19,133,0.2702462055713113
4370,27,13,0.2701590741889959
4375,181,77,0.27038349549184204
4380,81,32,0.2709159405931132
4385,85,102,0.27175182270730147
4390,19,15,0.2728854970409884
4395,36,21,0.2743102608801564
4400,195,117,0.27601835349560133
4405,18,3,0.2780009561465704
4410,33,8,0.28024819224810926
4415,10,7,0.2827491270909377
4420,15,4,0.2854917681142979
4425,91,71,0.2884630646876758
