Gold (OG|GC) G5WN6 (0.09 DTE) vs 4031 (-36.4) - Open Interest
Put: 3,634  Call: 3,418  Vol: 21.61  Vol Chg: -1.87  Future Chg: -36.4
Strike,Call,Put,Vol Settle
3995,0,57,0.27444646647927584
4000,7,243,0.2689595749361615
4005,0,27,0.26361454570724163
4010,0,94,0.25843931536655873
4015,0,39,0.253460078194621
4020,1,137,0.24870128595284768
4025,9,105,0.24418564812731347
4030,0,75,0.23993413170683198
4035,4,23,0.23596596130664693
4040,6,32,0.23229861916115624
4045,7,49,0.22894784509844612
4050,69,198,0.2259276365111873
4055,92,81,0.2232502484075667
4060,80,39,0.22092619340037345
4065,64,8,0.21896424171427498
4070,68,34,0.21737142114216113
