WTI Crude Oil (LO|CL) LO1U6 (0.43 DTE) vs 90.82 (-0.48) - Intraday Volume
Put: 1,449  Call: 1,252  Vol: 51.88  Vol Chg: -0.03  Future Chg: -0.48
Strike,Call,Put,Vol Settle
86.25,0,0,0.6269520535665833
86.5,1,23,0.6119404523824414
86.75,0,0,0.598382745996787
87,0,2,0.5861884027117412
87.25,1,5,0.5752708141603762
87.5,0,3,0.565547295293527
87.75,0,3,0.5569390843947986
88,4,93,0.5493713430614662
88.25,0,5,0.5427731562231202
88.5,0,3,0.5370775321330257
88.75,0,13,0.5322214023617562
89,1,49,0.5281456218153835
89.25,0,15,0.5247949687104665
89.5,20,38,0.5221181446008814
89.75,0,25,0.5200677743505366
90,1,383,0.5186004061652056
90.25,8,3,0.5176765115666058
90.5,24,124,0.5172604853883058
90.75,4,29,0.5173206458075583
91,23,546,0.5178292343152862
91.25,2,37,0.5187624157329083
91.5,12,20,0.520100278191876
91.75,1,4,0.5218268331700529
92,271,10,0.5239300154466946
92.25,20,4,0.5264016831456502
92.5,46,2,0.5292376176998914
92.75,1,1,0.5324375238665198
93,492,3,0.5360050297435919
93.25,4,0,0.5399476867328303
93.5,10,4,0.544276969575094
93.75,7,1,0.5490082763244573
94,71,0,0.5541609283704929
94.25,13,0,0.5597581704159893
94.5,5,0,0.5658271704951403
94.75,1,0,0.5723990199644504
95,97,0,0.5795087335009157
95.25,7,0,0.5871952491133925
95.5,2,0,0.595501428127136
95.75,1,0,0.6044740551919858
