S&P 500 (ES|ES) E1AQ6 (0.81 DTE) vs 7549 (+29.75) - Open Interest
Put: 238,224  Call: 96,566  Vol: 8.19  Vol Chg: -0.14  Future Chg: 29.75
Strike,Call,Put,Vol Settle
7465,244,311,0.10168694185995264
7470,178,481,0.09994266963622067
7475,2549,1138,0.09817927094263723
7480,221,529,0.09639877515292028
7485,182,158,0.09460350318113342
7490,173,850,0.09279606762720505
7495,358,229,0.09097937257320154
7500,995,1613,0.08915661387436558
7505,268,305,0.08733127905725269
7510,373,444,0.08550714715966024
7515,491,222,0.08368828890525037
7520,1396,423,0.08187906671082601
7525,1554,402,0.08008413461357122
7530,1221,131,0.0783084382492234
7535,2204,63,0.07655721489572898
7540,788,111,0.0748359935314511
7545,576,27,0.07315059468965046
7550,2023,75,0.07150713058217661
7555,453,12,0.06991200510674389
7560,869,40,0.06837191362865269
7565,583,13,0.06689384346100269
7570,1536,34,0.06548507318802876
7575,673,31,0.06415317335631698
7580,1128,29,0.06290600591455586
7585,1701,6,0.06175172461371403
7590,1016,21,0.06069877472327789
7595,389,3,0.05975589322770247
7600,3576,261,0.058932108666340355
7605,408,3,0.058236741344444454
7610,572,8,0.0576794031294412
7615,238,1,0
7620,3111,1,0
7625,941,1,0
7630,675,35,0
7635,1504,0,0
