S&P 500 (ES|ES) E1AQ6 (0.87 DTE) vs 7503.5 (-15.75) - Open Interest
Put: 238,224  Call: 96,566  Vol: 8.19  Vol Chg: -0.14  Future Chg: -15.75
Strike,Call,Put,Vol Settle
7415,68,231,0.1178397963012685
7420,889,548,0.11633423716557445
7425,362,980,0.11480529901018599
7430,304,735,0.11325209487404209
7435,120,405,0.1116740291035967
7440,366,2773,0.1100707979494473
7445,147,252,0.10844238925346872
7450,354,2030,0.1067890824197093
7455,201,255,0.1051114484507707
7460,180,609,0.10341035020246636
7465,244,311,0.10168694185995264
7470,178,481,0.09994266963622067
7475,2549,1138,0.09817927094263723
7480,221,529,0.09639877515292028
7485,182,158,0.09460350318113342
7490,173,850,0.09279606762720505
7495,358,229,0.09097937257320154
7500,995,1613,0.08915661387436558
7505,268,305,0.08733127905725269
7510,373,444,0.08550714715966024
7515,491,222,0.08368828890525037
7520,1396,423,0.08187906671082601
7525,1554,402,0.08008413461357122
7530,1221,131,0.0783084382492234
7535,2204,63,0.07655721489572898
7540,788,111,0.0748359935314511
7545,576,27,0.07315059468965046
7550,2023,75,0.07150713058217661
7555,453,12,0.06991200510674389
7560,869,40,0.06837191362865269
7565,583,13,0.06689384346100269
7570,1536,34,0.06548507318802876
7575,673,31,0.06415317335631698
7580,1128,29,0.06290600591455586
7585,1701,6,0.06175172461371403
7590,1016,21,0.06069877472327789
